year,G_XWDG_G01_GDP_PT,country,obs_code
2019,53.5792498853124,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2020,71.5329459290996,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2021,63.0037694540188,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2022,59.3682879959581,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2023,57.8365988476288,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2024,56.9282166153323,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2025,55.8733280434525,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2026,54.5532367918436,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
2027,53.183088568079,DO,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectDO"
1995,79.4632752432683,GT,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectGT"
1996,67.4029943968488,GT,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectGT"
1997,62.3857785538066,GT,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectGT"
1998,60.2552528821324,GT,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectGT"
1999,57.4466031473688,GT,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectGT"
2000,55.8111959798141,GT,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectGT"
2001,60.1854750483274,GT,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectGT"
2002,59.3314899370775,GT,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectGT"
2003,58.8131060574599,GT,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectGT"
2004,61.1837467102005,GT,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectGT"
2005,61.7265727739798,GT,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectGT"
2006,56.9465761244257,GT,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectGT"
2007,49.3649896110543,GT,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectGT"
2008,41.6469186415232,GT,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectGT"
2009,41.6193044384729,GT,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectGT"
2010,40.5426641579653,GT,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectGT"
