date,value,country
2008,27.6208801208046,KE
2009,32.2280317075308,KE
2010,35.4336940293204,KE
2011,34.9659599005427,KE
2012,35.8776999662584,KE
2013,35.8188690874118,KE
2014,34.8372357573961,KE
2015,39.7058164755616,KE
2016,47.5379286788401,KE
2017,48.0586320278216,KE
2018,50.7842054109721,KE
2019,54.0536644858905,KE
2020,62.7914231280888,KE
2021,64.5079116065113,KE
2022,66.1494764861202,KE
2023,65.580865839402,KE
2024,64.2132038926696,KE
2025,62.6775027626883,KE
2026,61.2166029651945,KE
2027,59.9760621014421,KE
2004,21.7539766206724,KR
2005,24.4834601531279,KR
2006,26.4805051305114,KR
2007,25.6619606178146,KR
2008,25.7345832662604,KR
2009,28.6774178266223,KR
2010,27.9563450290607,KR
2011,31.545960958134,KR
2012,2.31614042609068,KR
2013,5.78504059649557,KR
2014,7.5181633719453,KR
2015,9.48923064703709,KR
2016,9.73420311773455,KR
2017,9.60585755530966,KR
2018,9.57798559315319,KR
2019,11.6809744538999,KR
2020,18.4447614443662,KR
2021,19.3256965068696,KR
2022,21.598721673556,KR
2023,22.8867644832899,KR
2024,24.6522096551085,KR
2025,26.3106256557977,KR
2026,27.8376797999913,KR
2027,29.3462246501465,KR
2001,10.4853480834077,LV
2002,9.42737583848627,LV
2003,8.78261692635675,LV
2004,8.86560994008951,LV
2005,8.26103266110512,LV
2006,5.90560160697908,LV
2007,4.12134796263926,LV
2008,7.83952336414191,LV
2009,18.6441194469034,LV
2010,28.7453301183078,LV
2011,32.5087751183525,LV
2012,30.6612533510524,LV
2013,30.5607364891923,LV
2014,30.2695240405868,LV
2015,31.3581942400914,LV
2016,31.1980089645313,LV
2017,30.4973897173459,LV
2018,28.7513767187997,LV
2019,28.2365741493029,LV
2020,33.4249499334891,LV
2021,37.9832313890792,LV
2022,40.3649687306071,LV
2023,38.8406649355268,LV
2024,36.685741510312,LV
2025,34.7238788633692,LV
2026,32.9255593323502,LV
2027,32.2338354840096,LV
2001,161.136592245487,LB
2002,157.75482367855,LB
2003,168.521421150475,LB
2004,164.082387610509,LB
2005,170.714660412874,LB
2006,178.353691512287,LB
2007,163.518801985436,LB
2008,149.67810120136,LB
2009,131.153377682001,LB
2010,127.568338682403,LB
2011,128.753555407875,LB
2012,123.665341046035,LB
2013,126.012500707054,LB
2014,129.915519356128,LB
2015,134.039536794128,LB
2016,140.032787308472,LB
2017,143.595357458296,LB
2018,149.74858692652,LB
2019,165.943321442727,LB
2020,132.63967265472,LB
2001,0.109226753376709,LS
2002,0.109009107504811,LS
2003,20.8381215901236,LS
2004,13.4494578001636,LS
2005,16.8033642081685,LS
2006,5.47748779087824,LS
2007,-2.98454764825429,LS
2008,-10.6051676154766,LS
2009,-16.9970425892534,LS
2010,-4.40017248826462,LS
2011,2.04484489568434,LS
2012,-3.11007873255971,LS
2013,-2.27927253759432,LS
2014,-4.26460563829249,LS
2015,1.14989901440662,LS
2016,6.17016123674365,LS
2017,8.58759756856164,LS
2018,16.0025419012865,LS
2019,16.6903874953404,LS
2020,18.7009906357637,LS
2021,17.7587845863874,LS
2022,20.7438286168701,LS
2023,22.0973549068084,LS
2024,22.0741018449518,LS
2025,21.1648575256733,LS
2026,19.7890297498091,LS
2027,18.4980419515362,LS
2001,455.846927731163,LR
2002,446.990905535144,LR
2003,604.298801484707,LR
2004,490.737360156705,LR
2005,476.169865955664,LR
2006,410.792705460176,LR
2007,312.358544317512,LR
2008,184.962707571672,LR
2009,102.471605111563,LR
2010,15.7456532923075,LR
2011,15.9490171833446,LR
2012,14.2074074149828,LR
2013,14.6201356025679,LR
2014,16.6129935912027,LR
2015,15.2456823989726,LR
2016,24.3980505385787,LR
2017,27.71879417185,LR
2018,30.7665035084732,LR
2019,43.6447760051065,LR
2020,52.8177834722296,LR
2021,48.3095818449571,LR
2022,47.3811626102518,LR
2023,47.6584284173932,LR
2024,46.9340679045474,LR
2025,44.9719803871797,LR
2026,43.5763735357994,LR
2027,41.9592375782522,LR
1999,14.3011489064826,LT
2000,10.7385667420645,LT
2001,11.7112929392678,LT
2002,11.593753293287,LT
2003,10.3571432861459,LT
2004,10.4978786697915,LT
2005,10.1010438512869,LT
2006,7.88793637463467,LT
2007,8.26298718085711,LT
2008,10.0654011022658,LT
2009,19.798424365452,LT
2010,26.2990272491519,LT
2011,33.0697955117316,LT
2012,33.357944579799,LT
2013,34.0697696320734,LT
2014,32.5395516288377,LT
2015,35.4452052043475,LT
2016,32.9470119491179,LT
2017,32.9462606708723,LT
2018,27.7258386283143,LT
2019,30.3343232384839,LT
2020,41.121738094132,LT
2021,38.1179394406754,LT
2022,35.7651627248503,LT
2023,35.3091736394883,LT
2024,34.9144222866706,LT
2025,34.8038460517247,LT
2026,34.4315843462759,LT
2027,34.0579077514235,LT
2003,-32.5231057833089,LU
2004,-29.5274110126501,LU
2005,-25.5301161450542,LU
2006,-24.7438185808339,LU
2007,-25.8093396171278,LU
2008,-21.8962449012237,LU
2009,-19.1356364930718,LU
2010,-12.9149794706469,LU
2011,-11.1940870962065,LU
2012,-10.30709578689,LU
2013,-8.95314139058347,LU
2014,-10.8695862046328,LU
2015,-12.1101022488844,LU
2016,-11.6995801309422,LU
2017,-11.4121512084678,LU
2018,-11.1811511489788,LU
2019,-8.5381976617159,LU
2020,-5.35166790976797,LU
2021,-1.27793653283502,LU
2022,0.59643899649733,LU
2023,2.07370311699119,LU
2024,3.1374575011283,LU
2025,4.19223795296485,LU
2026,5.26770005579678,LU
2027,6.37158101794743,LU
2001,78.4687321477138,ML
2002,42.9075652137515,ML
2003,37.3927232246841,ML
2004,36.9237450622192,ML
2005,42.065419302913,ML
2006,13.1206845475107,ML
2007,13.183558486168,ML
2008,15.1332537944306,ML
2009,12.4985428314968,ML
2010,17.2859578963771,ML
2011,17.5022193191332,ML
2012,21.3286962383453,ML
2013,20.2180318361344,ML
2014,19.6580384078475,ML
2015,23.1486723773702,ML
2016,29.9840479778252,ML
2017,31.0984288741778,ML
2018,34.0886072808659,ML
2019,34.5578787426399,ML
2020,40.7207379472758,ML
2021,44.8818691009384,ML
2022,43.4422963427503,ML
2023,41.0491509295826,ML
2024,39.0407689699355,ML
2025,37.7271137208589,ML
2026,37.0661216098894,ML
2027,36.918662567023,ML
2005,61.5689907046621,MT
2006,55.7782403600368,MT
2007,52.5795225340687,MT
2008,53.3385239914593,MT
2009,56.1533531299863,MT
2010,55.3698433816465,MT
2011,57.4083867395624,MT
2012,56.3870263400168,MT
2013,56.7384724605993,MT
2014,52.2482708751114,MT
2015,47.5236352760058,MT
2016,41.677694896088,MT
2017,35.3844805162432,MT
2018,32.4693992640187,MT
2019,29.4853452763557,MT
2020,43.1826755969261,MT
2001,121.312787838494,MR
2002,107.480262608316,MR
2003,95.6509916523308,MR
2004,93.4297574549636,MR
2005,81.3387174824175,MR
2006,45.1965244063065,MR
2007,39.9989361332632,MR
2008,39.9405908664405,MR
2009,47.7479834364678,MR
2010,43.3054845311802,MR
2011,37.6355803244945,MR
2012,37.904952658763,MR
2013,38.6858181040761,MR
2014,47.0178455450819,MR
2015,57.45072767858,MR
2016,55.7231412737798,MR
2017,53.6730344911749,MR
2018,56.5213067997953,MR
2019,55.7556726063545,MR
2020,58.1175582792931,MR
2021,53.7801186756347,MR
2022,54.559267544539,MR
2023,54.2227454880796,MR
2024,48.2670684781834,MR
2025,45.297407162308,MR
2026,43.7071614254985,MR
2027,39.2173750354201,MR
1999,37.4363112660044,MX
2000,34.0854403009524,MX
2001,33.9694607852146,MX
2002,36.6695044920908,MX
2003,35.2627990517352,MX
2004,32.8717754118104,MX
2005,31.1023473750854,MX
2006,29.49345949608,MX
2007,28.8112027818304,MX
2008,32.8914941879909,MX
2009,36.0301624478279,MX
2010,36.0098363587132,MX
2011,37.1658743205664,MX
2012,37.2419867618568,MX
2013,39.9596935874364,MX
2014,42.5870958178798,MX
2015,46.4848878685832,MX
2016,48.6731166599639,MX
2017,45.7360971121458,MX
2018,44.8539137396985,MX
2019,44.4865996471609,MX
2020,51.7449536253976,MX
2021,49.950997182525,MX
2022,50.7255303788322,MX
2023,51.1899752087638,MX
2024,51.535814110709,MX
2025,51.8607914880073,MX
2026,52.1613017647842,MX
2027,52.4470280432349,MX
1997,73.3320321591222,MA
1998,69.6186375601676,MA
1999,68.4418986842284,MA
2000,69.9967771890977,MA
2001,62.9501790417817,MA
2002,61.7933416241085,MA
2003,58.8531681015036,MA
2004,55.9658084545318,MA
2005,56.7461470431473,MA
2006,52.3816740811718,MA
2007,49.4757838365811,MA
2008,44.7337838720401,MA
2009,45.451840090785,MA
2010,48.4927937225881,MA
2011,52.1368284231651,MA
2012,56.0073730592677,MA
2013,61.2161826089531,MA
2014,62.8380492344009,MA
2015,63.0853067896958,MA
2016,64.3917795613292,MA
2017,64.759016711095,MA
2018,64.9378582965494,MA
2019,64.5274570679646,MA
2020,75.7347259327558,MA
2021,75.7372134918819,MA
2022,76.5659849498895,MA
2023,76.9172242694073,MA
2024,77.4478853747005,MA
2025,77.2527518507085,MA
2026,76.5848921783098,MA
2027,75.8469213370701,MA
1994,16.2753958544158,NA
1995,18.4995036082217,NA
1996,19.3332104709124,NA
1997,18.2732245611104,NA
1998,21.2789616076909,NA
1999,22.4732971638377,NA
2000,19.1747596437419,NA
2001,22.7860759388168,NA
2002,19.7028216411304,NA
2003,25.9164136050032,NA
2004,27.5069005027707,NA
2005,25.020997371979,NA
2006,20.2111709177063,NA
2007,11.0400218429345,NA
2008,8.69294249557329,NA
2009,8.98557702898275,NA
2010,13.3814567831196,NA
2011,21.6888186462145,NA
2012,18.7192854486375,NA
2013,23.2494790407084,NA
2014,26.887186442853,NA
2015,36.6760429034511,NA
2016,42.6853844047148,NA
2017,41.390097384821,NA
2018,47.4214207166144,NA
2019,55.1505210876746,NA
2020,64.2720144173561,NA
2021,68.7953444886239,NA
2022,68.3788909938744,NA
2023,67.0016359797695,NA
2024,66.3513210568182,NA
2025,66.0587476105319,NA
2026,65.3673561066821,NA
2027,64.4218842336187,NA
1996,54.072397533551,NL
1997,50.8009841591563,NL
1998,47.7723531873344,NL
1999,44.5244946466758,NL
2000,38.733028470798,NL
2001,37.2401069973707,NL
2002,37.3720160355352,NL
2003,39.001774536378,NL
2004,39.7493982459389,NL
2005,38.0222297656671,NL
2006,35.6604954956496,NL
2007,32.9896474312386,NL
2008,38.4003040800497,NL
2009,41.0831858293777,NL
2010,45.9640136611039,NL
2011,48.7581474231924,NL
2012,52.392620749013,NL
2013,54.013623776048,NL
2014,55.2346774673894,NL
2015,53.2685128288368,NL
2016,51.5088157190716,NL
2017,46.6215355769726,NL
2018,42.9261594019848,NL
2019,41.8910624909753,NL
2020,43.1951850647277,NL
2021,46.4617221036604,NL
2022,45.2845049222245,NL
2023,44.8481714903072,NL
2024,44.7940673935936,NL
2025,44.6368109462973,NL
2026,44.2796632773354,NL
2027,43.4924596511285,NL
1991,67.4338099859652,NZ
1992,70.9799152885506,NZ
1993,63.2772175844336,NZ
1994,52.5548741868089,NZ
1995,42.7358086924455,NZ
1996,35.5872287228562,NZ
1997,32.0960431104199,NZ
1998,31.2119211230138,NZ
1999,29.0683889706533,NZ
2000,30.2902648733711,NZ
2001,27.0966514128275,NZ
2002,23.1755424985227,NZ
2003,18.4422638603333,NZ
2004,12.8824409021692,NZ
2005,7.50180403716279,NZ
2006,2.84244506388746,NZ
2007,-0.749437300790289,NZ
2008,-2.18192082343626,NZ
2009,-1.02102509042769,NZ
2010,2.49513724867514,NZ
2011,6.59126882576511,NZ
2012,8.52197995591041,NZ
2013,8.6126237515236,NZ
2014,7.93579961976239,NZ
2015,7.34316580778201,NZ
2016,6.63247318280699,NZ
2017,5.552859352469,NZ
2018,4.71822189323693,NZ
2019,6.85225508358352,NZ
2020,10.2358548775221,NZ
2021,15.0391960683243,NZ
2022,19.9841018213976,NZ
2023,21.3442711561629,NZ
2024,21.1396691333422,NZ
2025,19.8762622470412,NZ
2026,18.01711287236,NZ
2027,16.4482141632443,NZ
1996,63.5065192387858,NE
1997,69.099979471632,NE
1998,61.2826436735949,NE
1999,63.3467027454036,NE
2000,82.103324703558,NE
2001,71.0823901596067,NE
2002,65.9640045713975,NE
2003,57.7777760934628,NE
2004,53.443762432738,NE
2005,47.6142506114911,NE
2006,15.9374693233471,NE
2007,13.4257867010608,NE
2008,8.05426281994129,NE
2009,12.5999536792781,NE
2010,12.0662115458861,NE
2011,12.0266533780751,NE
2012,14.4308760517018,NE
2013,15.305201701423,NE
2014,17.2184231822335,NE
2015,25.8895216754139,NE
2016,29.4646179544989,NE
2017,32.3366476295248,NE
2018,34.0127362393682,NE
2019,35.9347789038653,NE
2020,41.0309887703172,NE
2021,47.464517898662,NE
2022,48.6975434122886,NE
2023,48.3845791708911,NE
2024,45.2879433865447,NE
2025,41.9337830819251,NE
2026,41.2684743338283,NE
2027,41.0322850914939,NE
2009,5.32462944100633,NG
2010,6.45453581109852,NG
2011,12.4546369036056,NG
2012,10.6715819869423,NG
2013,11.4459432897739,NG
2014,13.7680060457518,NG
2015,15.8781713479994,NG
2016,19.002288335695,NG
2017,20.9380197140905,NG
2018,23.4922001696988,NG
2019,25.4504163008656,NG
2020,34.0529747988796,NG
2021,36.5622991462389,NG
2022,36.8170002747682,NG
2023,38.2725389437579,NG
2024,39.7545525508145,NG
2025,41.1876332700409,NG
2026,42.5547635036506,NG
2027,43.8438352327394,NG
2000,38.8147691680662,MK
2001,35.2627575886811,MK
2002,33.7898361826584,MK
2003,32.6371048384402,MK
2004,30.6625172449294,MK
2005,29.5966545826526,MK
2006,22.313047244992,MK
2007,19.8200349168953,MK
2008,18.5931815375613,MK
2009,21.0121900224234,MK
2010,21.6964056789265,MK
2011,26.0719339842912,MK
2012,29.4910702833087,MK
2013,30.2309169488913,MK
2014,33.7038974331152,MK
2015,36.1571751919569,MK
2016,37.1163003687635,MK
2017,38.7450064339055,MK
2018,39.1783958436552,MK
2019,39.8359630034501,MK
2020,51.1116758685965,MK
2021,52.3319169353059,MK
2022,54.3360046817102,MK
2023,54.5382131054369,MK
2024,54.7472809286597,MK
2025,54.616725545869,MK
2026,54.3523638665873,MK
2027,54.048900357481,MK
1991,-11.7656565301823,NO
1992,-11.0191486519183,NO
1993,-10.1590455169071,NO
1994,-9.62206221931384,NO
1995,-12.7937238239646,NO
1996,-14.0993684891627,NO
1997,-16.0445521438554,NO
1998,-17.7713698331364,NO
1999,-18.7049842836029,NO
2000,-21.4155394736493,NO
2001,-29.809084545533,NO
2002,-29.5494117330525,NO
2003,-33.83194527159,NO
2004,-38.821493869951,NO
2005,-44.8402929265367,NO
2006,-52.7002015958013,NO
2007,-50.409140093091,NO
2008,-48.3212515405101,NO
2009,-43.1070698103053,NO
2010,-46.5977536379805,NO
2011,-47.4486363113894,NO
2012,-49.0190627495527,NO
2013,-60.1372937955681,NO
2014,-74.6189045260241,NO
2015,-85.5733923722538,NO
2016,-84.1991409061155,NO
2017,-79.268655348606,NO
2018,-71.37316750612,NO
2019,-74.8965619040243,NO
2020,-80.1577762601971,NO
2021,-76.9545579365918,NO
2022,-67.0004236253445,NO
2023,-75.812471070725,NO
2024,-80.8722871285572,NO
2025,-85.3234342445444,NO
2026,-89.0151919488216,NO
2027,-90.9531289937795,NO
1991,-12.8691065859475,OM
1992,-10.9555128553228,OM
1993,-3.53901078313006,OM
1994,5.27574891286844,OM
1995,6.02980912362688,OM
1996,6.73383326807507,OM
1997,3.18867887347073,OM
1998,14.2448502204196,OM
1999,15.0472483792812,OM
2000,-0.222652266692817,OM
2001,-2.77108895483856,OM
2002,-7.24170981200185,OM
2003,-13.091439733921,OM
2004,-13.2195860048211,OM
2005,-22.7192622734499,OM
2006,-24.8393859118016,OM
2007,-32.0152917062528,OM
2008,-26.4138668485347,OM
2009,-32.9229582864741,OM
2010,-30.4169166085406,OM
2011,-30.428505458648,OM
2012,-29.2533341154841,OM
2013,-44.1768730234268,OM
2014,-44.9277050231616,OM
2015,-42.2180116605974,OM
